NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_contact.py --data data/pilot1b --encoder patch --out runs/expC_patch_30k --steps 30000 --batch 512 --eval-every 5000 --max-eval-episodes 120 --workers 2
loaded split train: 1189 episodes in 7.5s
loaded split val: 255 episodes in 1.7s
loaded split test: 255 episodes in 1.5s
loaded split test_geometry: 301 episodes in 1.9s
encoder=patch params=660769
train category counts: {'far_free': 479239, 'near_contact': 183323, 'first_impact': 5945, 'contact': 564239, 'rebound_repeat': 32828, 'resting': 200194}
step 4000 loss 0.2852 active=0.031 d=0.000 p_box=0.001 p_ground=0.112 normal=0.000 cardinality=0.490 uncertainty=-2.944 (130s)
step 4100 loss 0.2727 active=0.030 d=0.000 p_box=0.001 p_ground=0.121 normal=0.000 cardinality=0.379 uncertainty=-2.936 (133s)
step 4200 loss 0.5721 active=0.037 d=0.000 p_box=0.001 p_ground=0.164 normal=0.000 cardinality=0.499 uncertainty=-2.897 (136s)
step 4300 loss 1.1904 active=0.034 d=0.001 p_box=0.016 p_ground=0.246 normal=0.000 cardinality=0.465 uncertainty=-2.120 (139s)
step 4400 loss 0.9179 active=0.031 d=0.001 p_box=0.001 p_ground=0.218 normal=0.000 cardinality=0.466 uncertainty=-2.354 (142s)
step 4500 loss 1.5150 active=0.034 d=0.001 p_box=0.023 p_ground=0.280 normal=0.000 cardinality=0.586 uncertainty=-1.808 (146s)
step 4600 loss 0.7832 active=0.038 d=0.001 p_box=0.004 p_ground=0.181 normal=0.000 cardinality=0.614 uncertainty=-2.635 (149s)
step 4700 loss 0.8555 active=0.034 d=0.001 p_box=0.012 p_ground=0.204 normal=0.000 cardinality=0.463 uncertainty=-2.664 (152s)
step 4800 loss 0.5239 active=0.030 d=0.000 p_box=0.001 p_ground=0.163 normal=0.000 cardinality=0.418 uncertainty=-2.829 (155s)
step 4900 loss 0.6383 active=0.033 d=0.000 p_box=0.009 p_ground=0.173 normal=0.000 cardinality=0.439 uncertainty=-2.790 (158s)
step 5000 loss 1.3919 active=0.030 d=0.001 p_box=0.013 p_ground=0.293 normal=0.000 cardinality=0.509 uncertainty=-2.281 (161s)
  [val] slot_precision=0.8923936486244202 slot_recall=0.9097824096679688 frame_precision=0.9546176195144653 frame_recall=0.8602827191352844 d_mae=0.0011635617120191455 d_p95=0.002709217369556427 point_err_median_pct_min_dim=0.008492476306855679 point_err_p95_pct_min_dim=1.3646906614303589 ground_point_err_median_pct_min_dim=10.850982666015625 normal_deg_median=0.5732223987579346 normal_deg_p95=1.2750571966171265 cardinality_acc=0.8771414160728455 count_acc=0.80389803647995 ece=0.10265239926748981 n_frames=148382 uncertainty_error_corr=0.07016972432655443
step 5100 loss 0.9946 active=0.036 d=0.000 p_box=0.023 p_ground=0.189 normal=0.000 cardinality=0.589 uncertainty=-2.167 (178s)
step 5200 loss 0.7225 active=0.033 d=0.000 p_box=0.009 p_ground=0.181 normal=0.000 cardinality=0.525 uncertainty=-2.794 (181s)
step 5300 loss 0.6497 active=0.029 d=0.000 p_box=0.007 p_ground=0.175 normal=0.000 cardinality=0.444 uncertainty=-2.700 (184s)
step 5400 loss 1.1174 active=0.031 d=0.000 p_box=0.031 p_ground=0.209 normal=0.000 cardinality=0.413 uncertainty=-1.787 (187s)
step 5500 loss 0.5397 active=0.026 d=0.000 p_box=0.012 p_ground=0.161 normal=0.000 cardinality=0.373 uncertainty=-2.830 (190s)
step 5600 loss 0.5978 active=0.029 d=0.000 p_box=0.008 p_ground=0.171 normal=0.000 cardinality=0.387 uncertainty=-2.761 (193s)
step 5700 loss 0.4807 active=0.029 d=0.000 p_box=0.000 p_ground=0.155 normal=0.000 cardinality=0.429 uncertainty=-2.848 (196s)
step 5800 loss 1.1579 active=0.028 d=0.001 p_box=0.036 p_ground=0.229 normal=0.000 cardinality=0.542 uncertainty=-2.495 (199s)
step 5900 loss 0.6928 active=0.031 d=0.000 p_box=0.004 p_ground=0.185 normal=0.000 cardinality=0.444 uncertainty=-2.674 (202s)
step 6000 loss 0.8096 active=0.033 d=0.001 p_box=0.019 p_ground=0.185 normal=0.000 cardinality=0.524 uncertainty=-2.716 (205s)
step 6100 loss 0.8726 active=0.034 d=0.000 p_box=0.011 p_ground=0.176 normal=0.000 cardinality=0.587 uncertainty=-2.138 (208s)
step 6200 loss 0.3502 active=0.027 d=0.000 p_box=0.004 p_ground=0.132 normal=0.000 cardinality=0.382 uncertainty=-2.884 (211s)
step 6300 loss 0.7867 active=0.029 d=0.000 p_box=0.019 p_ground=0.197 normal=0.000 cardinality=0.400 uncertainty=-2.746 (214s)
step 6400 loss 0.4706 active=0.031 d=0.001 p_box=0.003 p_ground=0.142 normal=0.000 cardinality=0.486 uncertainty=-2.821 (217s)
step 6500 loss 0.5913 active=0.030 d=0.000 p_box=0.002 p_ground=0.174 normal=0.000 cardinality=0.412 uncertainty=-2.786 (220s)
step 6600 loss 0.5090 active=0.027 d=0.000 p_box=0.002 p_ground=0.159 normal=0.000 cardinality=0.442 uncertainty=-2.889 (223s)
step 6700 loss 1.0588 active=0.033 d=0.000 p_box=0.020 p_ground=0.220 normal=0.000 cardinality=0.502 uncertainty=-2.312 (226s)
step 6800 loss 1.1462 active=0.030 d=0.000 p_box=0.012 p_ground=0.219 normal=0.000 cardinality=0.473 uncertainty=-1.544 (229s)
step 6900 loss 0.5726 active=0.029 d=0.000 p_box=0.001 p_ground=0.173 normal=0.000 cardinality=0.403 uncertainty=-2.803 (232s)
step 7000 loss 1.0630 active=0.033 d=0.000 p_box=0.018 p_ground=0.212 normal=0.000 cardinality=0.474 uncertainty=-1.942 (235s)
step 7100 loss 0.9132 active=0.029 d=0.000 p_box=0.029 p_ground=0.205 normal=0.000 cardinality=0.390 uncertainty=-2.561 (238s)
step 7200 loss 0.6107 active=0.029 d=0.000 p_box=0.011 p_ground=0.173 normal=0.000 cardinality=0.379 uncertainty=-2.790 (241s)
step 7300 loss 0.7094 active=0.028 d=0.000 p_box=0.001 p_ground=0.199 normal=0.000 cardinality=0.418 uncertainty=-2.787 (244s)
step 7400 loss 0.6827 active=0.031 d=0.000 p_box=0.013 p_ground=0.168 normal=0.000 cardinality=0.451 uncertainty=-2.557 (248s)
step 7500 loss 0.8738 active=0.027 d=0.000 p_box=0.022 p_ground=0.150 normal=0.000 cardinality=0.381 uncertainty=-1.178 (251s)
step 7600 loss 0.7570 active=0.031 d=0.000 p_box=0.005 p_ground=0.195 normal=0.000 cardinality=0.392 uncertainty=-2.494 (254s)
step 7700 loss 0.7627 active=0.030 d=0.000 p_box=0.009 p_ground=0.182 normal=0.000 cardinality=0.403 uncertainty=-2.280 (257s)
step 7800 loss 0.5245 active=0.029 d=0.000 p_box=0.001 p_ground=0.163 normal=0.000 cardinality=0.442 uncertainty=-2.881 (260s)
step 7900 loss 0.3170 active=0.030 d=0.001 p_box=0.001 p_ground=0.129 normal=0.000 cardinality=0.365 uncertainty=-2.893 (263s)
step 8000 loss 0.7561 active=0.030 d=0.000 p_box=0.020 p_ground=0.191 normal=0.000 cardinality=0.408 uncertainty=-2.814 (266s)
step 8100 loss 1.1820 active=0.029 d=0.000 p_box=0.043 p_ground=0.229 normal=0.000 cardinality=0.404 uncertainty=-2.207 (269s)
step 8200 loss 0.5464 active=0.027 d=0.001 p_box=0.001 p_ground=0.173 normal=0.000 cardinality=0.372 uncertainty=-2.832 (272s)
step 8300 loss 0.5724 active=0.025 d=0.001 p_box=0.014 p_ground=0.155 normal=0.000 cardinality=0.370 uncertainty=-2.563 (275s)
step 8400 loss 0.5045 active=0.027 d=0.001 p_box=0.009 p_ground=0.146 normal=0.000 cardinality=0.416 uncertainty=-2.678 (278s)
step 8500 loss 0.2697 active=0.028 d=0.001 p_box=0.001 p_ground=0.114 normal=0.000 cardinality=0.443 uncertainty=-2.930 (282s)
step 8600 loss 0.1183 active=0.024 d=0.000 p_box=0.000 p_ground=0.097 normal=0.000 cardinality=0.346 uncertainty=-2.945 (285s)
step 8700 loss 0.1720 active=0.025 d=0.000 p_box=0.000 p_ground=0.104 normal=0.000 cardinality=0.369 uncertainty=-2.914 (288s)
step 8800 loss 0.2433 active=0.026 d=0.001 p_box=0.000 p_ground=0.117 normal=0.000 cardinality=0.362 uncertainty=-2.906 (291s)
step 8900 loss 0.7630 active=0.029 d=0.000 p_box=0.008 p_ground=0.193 normal=0.000 cardinality=0.417 uncertainty=-2.538 (294s)
step 9000 loss 0.9387 active=0.028 d=0.000 p_box=0.010 p_ground=0.216 normal=0.000 cardinality=0.436 uncertainty=-2.317 (297s)
step 9100 loss 0.2389 active=0.025 d=0.000 p_box=0.001 p_ground=0.122 normal=0.000 cardinality=0.278 uncertainty=-2.845 (300s)
step 9200 loss 0.3484 active=0.025 d=0.000 p_box=0.003 p_ground=0.128 normal=0.000 cardinality=0.424 uncertainty=-2.849 (303s)
step 9300 loss 0.2577 active=0.027 d=0.000 p_box=0.001 p_ground=0.116 normal=0.000 cardinality=0.403 uncertainty=-2.910 (306s)
step 9400 loss 0.3043 active=0.026 d=0.001 p_box=0.001 p_ground=0.121 normal=0.000 cardinality=0.416 uncertainty=-2.843 (309s)
step 9500 loss 0.2793 active=0.024 d=0.000 p_box=0.001 p_ground=0.126 normal=0.000 cardinality=0.374 uncertainty=-2.952 (312s)
step 9600 loss 0.4424 active=0.027 d=0.001 p_box=0.000 p_ground=0.152 normal=0.000 cardinality=0.408 uncertainty=-2.900 (315s)
step 9700 loss 0.4540 active=0.024 d=0.000 p_box=0.010 p_ground=0.144 normal=0.000 cardinality=0.369 uncertainty=-2.752 (318s)
step 9800 loss 0.4939 active=0.024 d=0.000 p_box=0.001 p_ground=0.170 normal=0.000 cardinality=0.328 uncertainty=-2.863 (321s)
step 9900 loss 0.1761 active=0.024 d=0.000 p_box=0.000 p_ground=0.107 normal=0.000 cardinality=0.357 uncertainty=-2.948 (324s)
step 10000 loss 0.1873 active=0.022 d=0.000 p_box=0.000 p_ground=0.113 normal=0.000 cardinality=0.332 uncertainty=-2.958 (327s)
  [val] slot_precision=0.9128080010414124 slot_recall=0.9412086009979248 frame_precision=0.9559454917907715 frame_recall=0.9115936756134033 d_mae=0.0004976103082299232 d_p95=0.0011268085800111294 point_err_median_pct_min_dim=0.005732698831707239 point_err_p95_pct_min_dim=0.0718383938074112 ground_point_err_median_pct_min_dim=4.197092533111572 normal_deg_median=0.07311658561229706 normal_deg_p95=0.15825878083705902 cardinality_acc=0.8815624713897705 count_acc=0.8504064083099365 ece=0.0979540465011439 n_frames=148382 uncertainty_error_corr=0.2548739180977646
step 10100 loss 0.4382 active=0.026 d=0.000 p_box=0.017 p_ground=0.134 normal=0.000 cardinality=0.397 uncertainty=-2.822 (344s)
step 10200 loss 0.2447 active=0.027 d=0.000 p_box=0.001 p_ground=0.119 normal=0.000 cardinality=0.345 uncertainty=-2.900 (347s)
step 10300 loss 0.5773 active=0.028 d=0.000 p_box=0.000 p_ground=0.142 normal=0.000 cardinality=0.726 uncertainty=-2.760 (350s)
step 10400 loss 0.3169 active=0.026 d=0.000 p_box=0.006 p_ground=0.126 normal=0.000 cardinality=0.355 uncertainty=-2.871 (353s)
step 10500 loss 0.3099 active=0.025 d=0.000 p_box=0.004 p_ground=0.128 normal=0.000 cardinality=0.378 uncertainty=-2.942 (356s)
step 10600 loss 0.3059 active=0.023 d=0.000 p_box=0.012 p_ground=0.123 normal=0.000 cardinality=0.328 uncertainty=-2.896 (359s)
step 10700 loss 0.2549 active=0.021 d=0.001 p_box=0.001 p_ground=0.121 normal=0.000 cardinality=0.353 uncertainty=-2.891 (362s)
step 10800 loss 0.0874 active=0.024 d=0.000 p_box=0.000 p_ground=0.089 normal=0.000 cardinality=0.372 uncertainty=-2.967 (365s)
