
### Contact encoders (Experiment C)

| run | split | frame_recall | frame_precision | slot_recall | d_mae | point_err_median_pct_min_dim | normal_deg_median | cardinality_acc | ece | first_impact_err_steps_median | first_impact_err_steps_p99 | first_impact_missed |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| expD_r2_learned_frozen | val/learned | 1.192e-07 | 0.04978 | 0.1791 | 95.56 | 0.2708 | 2.811 | 0.5924 | 7.132 | 0.0102 | 60.5 | 0.02142 | 0 |
| expD_r2_learned_frozen | test/gt | 1.192e-07 | 0.05943 | 0.2997 | 160.3 | 0.3769 | 4.566 | 0.6024 | 5.473 | 0.01162 | 43.5 | 0.2745 | 0 |
| expD_r2_learned_frozen | test/analytic | 1.192e-07 | 0.04213 | 0.1344 | 88.28 | 0.2607 | 2.576 | 0.5436 | 6.036 | 0.01017 | 47.5 | 0.01133 | 0 |
| expD_r2_learned_frozen | test/learned | 1.192e-07 | 0.05026 | 0.176 | 78.17 | 0.2739 | 2.722 | 0.6919 | 6.016 | 0.01097 | 62.5 | 0.02185 | 0 |
| expD_r2_learned_frozen | test_geometry/gt | 1.192e-07 | 0.06454 | 0.3078 | 156 | 0.3481 | 4.324 | 0.498 | 9.122 | 0.009244 | 49 | 0.2449 | 0 |
| expD_r2_learned_frozen | test_geometry/analytic | 1.192e-07 | 0.04857 | 0.09991 | 82.03 | 0.2319 | 2.79 | 0.5122 | 9.352 | 0.01169 | 53 | 0.01049 | 0 |
| expD_r2_learned_frozen | test_geometry/learned | 1.192e-07 | 0.04736 | 0.09478 | 74.02 | 0.2118 | 2.606 | 0.5766 | 7.828 | 0.01019 | 57.5 | 0.02016 | 0 |
| expD_r2_learned_frozen_point | val/gt | 9.686e-08 | 0.07711 | 0.3651 | 160.7 | 0.4277 | 5.276 | 0.4886 | 6.727 | 0.02096 | 61 | 0.2792 | 0 |
| expD_r2_learned_frozen_point | val/analytic | 9.686e-08 | 0.03933 | 0.1342 | 90.95 | 0.2358 | 2.969 | 0.4274 | 6.86 | 0.009185 | 33 | 0.01071 | 0 |
| expD_r2_learned_frozen_point | val/learned | 0.000937 | 0.06005 | 0.1539 | 90.56 | 0.308 | 2.974 | 2.878 | 13.65 | 0.02832 | 71 | 0.01541 | 0 |
