NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/pilot1b --contact-mode explicit --out runs/expB_pilot_oracle_explicit --steps 30000 --eval-every 10000 --workers 2 --eval-contact-sources gt,analytic
loaded split train: 1189 episodes in 7.8s
loaded split val: 255 episodes in 1.6s
loaded split test: 255 episodes in 1.6s
loaded split test_geometry: 301 episodes in 1.9s
transition model contact_mode=explicit params=640582
step 10300 loss 0.14106 (1-step 0.14106) 95s
step 10400 loss 0.09818 (1-step 0.09818) 96s
step 10500 loss 0.10096 (1-step 0.10096) 97s
step 10600 loss 0.13737 (1-step 0.13737) 98s
step 10700 loss 0.10549 (1-step 0.10549) 99s
step 10800 loss 0.09830 (1-step 0.09830) 100s
step 10900 loss 0.15660 (1-step 0.15660) 100s
step 11000 loss 0.15078 (1-step 0.15078) 101s
step 11100 loss 0.10802 (1-step 0.10802) 102s
step 11200 loss 0.21456 (1-step 0.21456) 103s
step 11300 loss 0.10657 (1-step 0.10657) 104s
step 11400 loss 0.09920 (1-step 0.09920) 105s
step 11500 loss 0.09309 (1-step 0.09309) 105s
step 11600 loss 0.08142 (1-step 0.08142) 106s
step 11700 loss 0.09674 (1-step 0.09674) 107s
step 11800 loss 0.10379 (1-step 0.10379) 108s
step 11900 loss 0.06689 (1-step 0.06689) 109s
step 12000 loss 0.07147 (1-step 0.07147) 110s
step 12100 loss 0.10734 (1-step 0.10734) 111s
step 12200 loss 0.07898 (1-step 0.07898) 112s
step 12300 loss 0.10329 (1-step 0.10329) 113s
step 12400 loss 0.12614 (1-step 0.12614) 114s
step 12500 loss 0.13323 (1-step 0.13323) 114s
step 12600 loss 0.08848 (1-step 0.08848) 115s
step 12700 loss 0.06878 (1-step 0.06878) 116s
step 12800 loss 0.06488 (1-step 0.06488) 117s
step 12900 loss 0.09122 (1-step 0.09122) 118s
step 13000 loss 0.09358 (1-step 0.09358) 119s
step 13100 loss 0.12019 (1-step 0.12019) 120s
step 13200 loss 0.15673 (1-step 0.15673) 121s
step 13300 loss 0.09942 (1-step 0.09942) 122s
step 13400 loss 0.11582 (1-step 0.11582) 123s
step 13500 loss 0.06532 (1-step 0.06532) 124s
step 13600 loss 0.07095 (1-step 0.07095) 124s
step 13700 loss 0.22651 (1-step 0.22651) 125s
step 13800 loss 0.05945 (1-step 0.05945) 126s
step 13900 loss 0.07766 (1-step 0.07766) 127s
step 14000 loss 0.09776 (1-step 0.09776) 128s
step 14100 loss 0.06769 (1-step 0.06769) 129s
step 14200 loss 0.04267 (1-step 0.04267) 130s
step 14300 loss 0.04355 (1-step 0.04355) 131s
step 14400 loss 0.06078 (1-step 0.06078) 132s
step 14500 loss 0.04224 (1-step 0.04224) 132s
step 14600 loss 0.09306 (1-step 0.09306) 133s
step 14700 loss 0.05855 (1-step 0.05855) 134s
step 14800 loss 0.06597 (1-step 0.06597) 135s
step 14900 loss 0.10431 (1-step 0.10431) 136s
step 15000 loss 0.05331 (1-step 0.05331) 137s
step 15100 loss 0.05567 (1-step 0.05567) 138s
step 15200 loss 0.08457 (1-step 0.08457) 139s
step 15300 loss 0.04447 (1-step 0.04447) 140s
step 15400 loss 0.05547 (1-step 0.05547) 141s
step 15500 loss 0.07189 (1-step 0.07189) 141s
step 15600 loss 0.15217 (1-step 0.15217) 142s
step 15700 loss 0.05272 (1-step 0.05272) 143s
step 15800 loss 0.06878 (1-step 0.06878) 144s
step 15900 loss 0.05914 (1-step 0.05914) 145s
step 16000 loss 0.07338 (1-step 0.07338) 146s
step 16100 loss 0.03389 (1-step 0.03389) 147s
step 16200 loss 0.04809 (1-step 0.04809) 148s
step 16300 loss 0.05954 (1-step 0.05954) 149s
step 16400 loss 0.04077 (1-step 0.04077) 150s
step 16500 loss 0.04989 (1-step 0.04989) 151s
step 16600 loss 0.04090 (1-step 0.04090) 151s
step 16700 loss 0.10863 (1-step 0.10863) 152s
step 16800 loss 0.05415 (1-step 0.05415) 153s
step 16900 loss 0.07284 (1-step 0.07284) 154s
step 17000 loss 0.07281 (1-step 0.07281) 155s
step 17100 loss 0.05826 (1-step 0.05826) 156s
step 17200 loss 0.05115 (1-step 0.05115) 157s
step 17300 loss 0.04812 (1-step 0.04812) 158s
step 17400 loss 0.06643 (1-step 0.06643) 159s
step 17500 loss 0.05069 (1-step 0.05069) 160s
step 17600 loss 0.05166 (1-step 0.05166) 160s
step 17700 loss 0.07082 (1-step 0.07082) 161s
step 17800 loss 0.05886 (1-step 0.05886) 162s
step 17900 loss 0.05654 (1-step 0.05654) 163s
step 18000 loss 0.04582 (1-step 0.04582) 164s
step 18100 loss 0.06337 (1-step 0.06337) 165s
step 18200 loss 0.05147 (1-step 0.05147) 166s
step 18300 loss 0.04619 (1-step 0.04619) 167s
step 18400 loss 0.03349 (1-step 0.03349) 168s
step 18500 loss 0.06794 (1-step 0.06794) 168s
step 18600 loss 0.04315 (1-step 0.04315) 169s
step 18700 loss 0.10753 (1-step 0.10753) 170s
step 18800 loss 0.03237 (1-step 0.03237) 171s
step 18900 loss 0.03457 (1-step 0.03457) 172s
step 19000 loss 0.04377 (1-step 0.04377) 173s
step 19100 loss 0.03910 (1-step 0.03910) 174s
step 19200 loss 0.03872 (1-step 0.03872) 174s
step 19300 loss 0.04063 (1-step 0.04063) 175s
step 19400 loss 0.04187 (1-step 0.04187) 176s
step 19500 loss 0.05316 (1-step 0.05316) 177s
step 19600 loss 0.11352 (1-step 0.11352) 178s
step 19700 loss 0.03774 (1-step 0.03774) 179s
step 19800 loss 0.03932 (1-step 0.03932) 180s
step 19900 loss 0.03486 (1-step 0.03486) 181s
step 20000 loss 0.05225 (1-step 0.05225) 182s
  [val one-step] dv_err_mean=0.005031 dw_err_mean=0.1111 dv_err_far_free=3.737e-08 dw_err_far_free=0.00514 dv_err_near_contact=1.692e-08 dw_err_near_contact=0.02431 dv_err_first_impact=0.29 dw_err_first_impact=3.95 dv_err_contact=0.006578 dw_err_contact=0.1479 dv_err_rebound_repeat=0.04274 dw_err_rebound_repeat=0.8959 dv_err_resting=0.003272 dw_err_resting=0.1143
