NVIDIA A100-SXM4-40GB, 580.159.04, 40960 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/pilot1b --contact-mode explicit --out runs/expD_learned_frozen --steps 30000 --eval-every 10000 --workers 2 --encoder-ckpt runs/expC_patch/final.pt --eval-contact-sources gt,analytic,learned
loaded split train: 1189 episodes in 13.6s
loaded split val: 255 episodes in 2.9s
loaded split test: 255 episodes in 2.9s
loaded split test_geometry: 301 episodes in 3.4s
transition model contact_mode=explicit params=640582
step 10200 loss 0.12031 (1-step 0.12031) 209s
step 10300 loss 0.10607 (1-step 0.10607) 211s
step 10400 loss 0.08179 (1-step 0.08179) 213s
step 10500 loss 0.09193 (1-step 0.09193) 215s
step 10600 loss 0.12778 (1-step 0.12778) 218s
step 10700 loss 0.08657 (1-step 0.08657) 220s
step 10800 loss 0.09895 (1-step 0.09895) 223s
step 10900 loss 0.28129 (1-step 0.28129) 225s
step 11000 loss 0.15923 (1-step 0.15923) 227s
step 11100 loss 0.09647 (1-step 0.09647) 229s
step 11200 loss 0.21399 (1-step 0.21399) 230s
step 11300 loss 0.11291 (1-step 0.11291) 232s
step 11400 loss 0.09063 (1-step 0.09063) 235s
step 11500 loss 0.08762 (1-step 0.08762) 236s
step 11600 loss 0.07576 (1-step 0.07576) 238s
step 11700 loss 0.09771 (1-step 0.09771) 240s
step 11800 loss 0.11516 (1-step 0.11516) 242s
step 11900 loss 0.04914 (1-step 0.04914) 244s
step 12000 loss 0.06373 (1-step 0.06373) 246s
step 12100 loss 0.09861 (1-step 0.09861) 248s
step 12200 loss 0.07253 (1-step 0.07253) 250s
step 12300 loss 0.09822 (1-step 0.09822) 253s
step 12400 loss 0.13534 (1-step 0.13534) 255s
step 12500 loss 0.12155 (1-step 0.12155) 257s
step 12600 loss 0.08425 (1-step 0.08425) 259s
step 12700 loss 0.06822 (1-step 0.06822) 262s
step 12800 loss 0.06644 (1-step 0.06644) 264s
step 12900 loss 0.08079 (1-step 0.08079) 266s
step 13000 loss 0.06954 (1-step 0.06954) 268s
step 13100 loss 0.09592 (1-step 0.09592) 271s
step 13200 loss 0.14102 (1-step 0.14102) 273s
step 13300 loss 0.09319 (1-step 0.09319) 275s
step 13400 loss 0.11522 (1-step 0.11522) 278s
step 13500 loss 0.05881 (1-step 0.05881) 280s
step 13600 loss 0.07091 (1-step 0.07091) 282s
step 13700 loss 0.14687 (1-step 0.14687) 285s
step 13800 loss 0.05912 (1-step 0.05912) 287s
step 13900 loss 0.07393 (1-step 0.07393) 290s
step 14000 loss 0.09053 (1-step 0.09053) 292s
step 14100 loss 0.08333 (1-step 0.08333) 294s
step 14200 loss 0.04966 (1-step 0.04966) 297s
step 14300 loss 0.04585 (1-step 0.04585) 299s
step 14400 loss 0.05764 (1-step 0.05764) 301s
step 14500 loss 0.04704 (1-step 0.04704) 304s
step 14600 loss 0.07846 (1-step 0.07846) 306s
step 14700 loss 0.06863 (1-step 0.06863) 309s
step 14800 loss 0.05764 (1-step 0.05764) 311s
step 14900 loss 0.09169 (1-step 0.09169) 314s
step 15000 loss 0.04175 (1-step 0.04175) 316s
step 15100 loss 0.08700 (1-step 0.08700) 318s
step 15200 loss 0.07879 (1-step 0.07879) 321s
step 15300 loss 0.04309 (1-step 0.04309) 323s
step 15400 loss 0.07298 (1-step 0.07298) 325s
step 15500 loss 0.06827 (1-step 0.06827) 327s
step 15600 loss 0.09102 (1-step 0.09102) 329s
step 15700 loss 0.05015 (1-step 0.05015) 332s
step 15800 loss 0.06434 (1-step 0.06434) 334s
step 15900 loss 0.06446 (1-step 0.06446) 336s
step 16000 loss 0.07234 (1-step 0.07234) 338s
step 16100 loss 0.03415 (1-step 0.03415) 341s
step 16200 loss 0.04801 (1-step 0.04801) 343s
step 16300 loss 0.06572 (1-step 0.06572) 346s
step 16400 loss 0.03743 (1-step 0.03743) 348s
step 16500 loss 0.04957 (1-step 0.04957) 350s
step 16600 loss 0.04029 (1-step 0.04029) 352s
step 16700 loss 0.08532 (1-step 0.08532) 354s
step 16800 loss 0.05803 (1-step 0.05803) 357s
