NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_contact.py --data data/pilot1b --encoder patch --out runs/expC_patch --steps 8000 --eval-every 2000 --max-eval-episodes 120 --workers 2
loaded split train: 1189 episodes in 91.6s
loaded split val: 255 episodes in 18.9s
loaded split test: 255 episodes in 22.5s
loaded split test_geometry: 301 episodes in 26.6s
encoder=patch params=660769
train category counts: {'far_free': 479239, 'near_contact': 183323, 'first_impact': 5945, 'contact': 564239, 'rebound_repeat': 32828, 'resting': 200194}
step 3600 loss 0.4986 active=0.036 d=0.000 p_box=0.001 p_ground=0.151 normal=0.000 cardinality=0.476 uncertainty=-2.857 (128s)
step 3700 loss 0.4698 active=0.036 d=0.003 p_box=0.001 p_ground=0.143 normal=0.000 cardinality=0.468 uncertainty=-2.870 (131s)
step 3800 loss 0.4646 active=0.035 d=0.000 p_box=0.001 p_ground=0.146 normal=0.000 cardinality=0.474 uncertainty=-2.895 (134s)
step 3900 loss 0.5574 active=0.035 d=0.001 p_box=0.006 p_ground=0.152 normal=0.000 cardinality=0.496 uncertainty=-2.784 (137s)
step 4000 loss 0.5956 active=0.035 d=0.000 p_box=0.003 p_ground=0.159 normal=0.000 cardinality=0.517 uncertainty=-2.721 (140s)
  [val] slot_precision=0.8934061527252197 slot_recall=0.9008236527442932 frame_precision=0.96183180809021 frame_recall=0.8436560034751892 d_mae=0.0011360336793586612 d_p95=0.002519933506846428 point_err_median_pct_min_dim=0.020240802317857742 point_err_p95_pct_min_dim=0.34329792857170105 ground_point_err_median_pct_min_dim=6.586036682128906 normal_deg_median=0.8368090391159058 normal_deg_p95=1.84894859790802 cardinality_acc=0.8641883730888367 count_acc=0.8097478151321411 ece=0.14168212282115994 n_frames=148382 uncertainty_error_corr=-0.3561255559061591
step 4100 loss 0.3284 active=0.033 d=0.000 p_box=0.001 p_ground=0.128 normal=0.000 cardinality=0.394 uncertainty=-2.911 (155s)
step 4200 loss 0.2755 active=0.039 d=0.000 p_box=0.001 p_ground=0.107 normal=0.000 cardinality=0.485 uncertainty=-2.921 (158s)
step 4300 loss 0.3352 active=0.036 d=0.000 p_box=0.001 p_ground=0.123 normal=0.000 cardinality=0.453 uncertainty=-2.929 (161s)
step 4400 loss 0.2898 active=0.029 d=0.000 p_box=0.001 p_ground=0.122 normal=0.000 cardinality=0.401 uncertainty=-2.909 (164s)
step 4500 loss 0.2581 active=0.033 d=0.000 p_box=0.001 p_ground=0.109 normal=0.000 cardinality=0.444 uncertainty=-2.915 (167s)
step 4600 loss 0.2087 active=0.034 d=0.000 p_box=0.001 p_ground=0.102 normal=0.000 cardinality=0.420 uncertainty=-2.934 (171s)
step 4700 loss 0.1622 active=0.033 d=0.001 p_box=0.001 p_ground=0.092 normal=0.000 cardinality=0.435 uncertainty=-2.945 (174s)
step 4800 loss 0.1959 active=0.032 d=0.000 p_box=0.000 p_ground=0.102 normal=0.000 cardinality=0.414 uncertainty=-2.941 (177s)
step 4900 loss 0.2467 active=0.034 d=0.000 p_box=0.001 p_ground=0.105 normal=0.000 cardinality=0.474 uncertainty=-2.939 (180s)
step 5000 loss 0.0830 active=0.029 d=0.000 p_box=0.001 p_ground=0.084 normal=0.000 cardinality=0.382 uncertainty=-2.946 (183s)
