NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_contact.py --data data/pilot1b --encoder point --out runs/expC_point_30k --steps 30000 --batch 512 --eval-every 5000 --max-eval-episodes 120 --workers 2
loaded split train: 1189 episodes in 7.6s
loaded split val: 255 episodes in 1.7s
loaded split test: 255 episodes in 1.5s
loaded split test_geometry: 301 episodes in 1.9s
encoder=point params=557089
train category counts: {'far_free': 479239, 'near_contact': 183323, 'first_impact': 5945, 'contact': 564239, 'rebound_repeat': 32828, 'resting': 200194}
step 4000 loss 1.2400 active=0.045 d=0.001 p_box=0.005 p_ground=0.261 normal=0.000 cardinality=0.619 uncertainty=-2.462 (217s)
step 4100 loss 1.2909 active=0.047 d=0.001 p_box=0.012 p_ground=0.244 normal=0.000 cardinality=0.652 uncertainty=-2.058 (222s)
step 4200 loss 1.3176 active=0.051 d=0.001 p_box=0.024 p_ground=0.228 normal=0.000 cardinality=0.707 uncertainty=-2.014 (228s)
step 4300 loss 1.6626 active=0.048 d=0.001 p_box=0.030 p_ground=0.277 normal=0.000 cardinality=0.730 uncertainty=-1.687 (233s)
step 4400 loss 0.9254 active=0.041 d=0.000 p_box=0.003 p_ground=0.198 normal=0.000 cardinality=0.619 uncertainty=-2.393 (238s)
step 4500 loss 1.1755 active=0.044 d=0.000 p_box=0.001 p_ground=0.249 normal=0.000 cardinality=0.642 uncertainty=-2.421 (244s)
step 4600 loss 0.7993 active=0.047 d=0.000 p_box=0.001 p_ground=0.175 normal=0.000 cardinality=0.698 uncertainty=-2.639 (249s)
step 4700 loss 0.5661 active=0.046 d=0.001 p_box=0.001 p_ground=0.141 normal=0.000 cardinality=0.645 uncertainty=-2.811 (255s)
step 4800 loss 0.6382 active=0.044 d=0.000 p_box=0.002 p_ground=0.164 normal=0.000 cardinality=0.585 uncertainty=-2.859 (260s)
step 4900 loss 0.4074 active=0.045 d=0.000 p_box=0.001 p_ground=0.116 normal=0.000 cardinality=0.625 uncertainty=-2.892 (265s)
