NVIDIA A100-SXM4-40GB, 580.159.04, 40960 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_contact.py --data data/pilot1b --encoder point --out runs/expC_point --steps 8000 --eval-every 2000 --max-eval-episodes 120 --workers 2
loaded split train: 1189 episodes in 103.1s
loaded split val: 255 episodes in 20.4s
loaded split test: 255 episodes in 22.2s
loaded split test_geometry: 301 episodes in 27.0s
encoder=point params=557089
train category counts: {'far_free': 479239, 'near_contact': 183323, 'first_impact': 5945, 'contact': 564239, 'rebound_repeat': 32828, 'resting': 200194}
step 3600 loss 1.7134 active=0.049 d=0.001 p_box=0.030 p_ground=0.299 normal=0.000 cardinality=0.666 uncertainty=-1.836 (415s)
step 3700 loss 0.9858 active=0.045 d=0.004 p_box=0.009 p_ground=0.203 normal=0.000 cardinality=0.578 uncertainty=-2.350 (426s)
step 3800 loss 0.9196 active=0.043 d=0.000 p_box=0.008 p_ground=0.187 normal=0.000 cardinality=0.583 uncertainty=-2.174 (436s)
step 3900 loss 0.7901 active=0.046 d=0.001 p_box=0.002 p_ground=0.174 normal=0.000 cardinality=0.663 uncertainty=-2.579 (447s)
step 4000 loss 1.3500 active=0.043 d=0.001 p_box=0.038 p_ground=0.196 normal=0.000 cardinality=0.646 uncertainty=-1.148 (458s)
  [val] slot_precision=0.8572597503662109 slot_recall=0.8721590638160706 frame_precision=0.94574373960495 frame_recall=0.8223526477813721 d_mae=0.001109478180296719 d_p95=0.0025471257977187634 point_err_median_pct_min_dim=0.0201370008289814 point_err_p95_pct_min_dim=0.5735288262367249 ground_point_err_median_pct_min_dim=6.833782196044922 normal_deg_median=0.5126095414161682 normal_deg_p95=0.8997809886932373 cardinality_acc=0.820894718170166 count_acc=0.7703360319137573 ece=0.15211649995537058 n_frames=148382 uncertainty_error_corr=-0.004354164049513873
step 4100 loss 0.9118 active=0.045 d=0.001 p_box=0.012 p_ground=0.186 normal=0.000 cardinality=0.556 uncertainty=-2.234 (500s)
step 4200 loss 0.5998 active=0.047 d=0.001 p_box=0.003 p_ground=0.135 normal=0.000 cardinality=0.653 uncertainty=-2.563 (510s)
step 4300 loss 0.4868 active=0.044 d=0.000 p_box=0.002 p_ground=0.128 normal=0.000 cardinality=0.600 uncertainty=-2.762 (521s)
step 4400 loss 0.6032 active=0.038 d=0.000 p_box=0.001 p_ground=0.165 normal=0.000 cardinality=0.518 uncertainty=-2.820 (531s)
