NVIDIA A100-SXM4-40GB, 580.159.04, 40960 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/fixed1a --contact-mode explicit --out runs/expB_oracle_explicit --steps 30000 --eval-every 10000 --workers 2 --eval-contact-sources gt,analytic
loaded split train: 420 episodes in 28.1s
loaded split val: 90 episodes in 6.8s
loaded split test: 90 episodes in 6.0s
loaded split test_geometry: 0 episodes in 0.0s
transition model contact_mode=explicit params=640582
step 10300 loss 0.02398 (1-step 0.02398) 233s
step 10400 loss 0.02344 (1-step 0.02344) 235s
step 10500 loss 0.02904 (1-step 0.02904) 237s
step 10600 loss 0.02396 (1-step 0.02396) 240s
step 10700 loss 0.03308 (1-step 0.03308) 242s
step 10800 loss 0.04490 (1-step 0.04490) 244s
step 10900 loss 0.02528 (1-step 0.02528) 246s
step 11000 loss 0.04182 (1-step 0.04182) 249s
step 11100 loss 0.02746 (1-step 0.02746) 251s
step 11200 loss 0.02469 (1-step 0.02469) 253s
step 11300 loss 0.02801 (1-step 0.02801) 256s
step 11400 loss 0.02996 (1-step 0.02996) 258s
step 11500 loss 0.02797 (1-step 0.02797) 260s
step 11600 loss 0.03260 (1-step 0.03260) 262s
step 11700 loss 0.02851 (1-step 0.02851) 264s
step 11800 loss 0.02949 (1-step 0.02949) 267s
step 11900 loss 0.03569 (1-step 0.03569) 269s
step 12000 loss 0.03932 (1-step 0.03932) 272s
step 12100 loss 0.04825 (1-step 0.04825) 274s
step 12200 loss 0.04502 (1-step 0.04502) 276s
step 12300 loss 0.03820 (1-step 0.03820) 279s
step 12400 loss 0.02382 (1-step 0.02382) 281s
step 12500 loss 0.02287 (1-step 0.02287) 283s
step 12600 loss 0.03515 (1-step 0.03515) 285s
step 12700 loss 0.02188 (1-step 0.02188) 287s
step 12800 loss 0.03363 (1-step 0.03363) 290s
step 12900 loss 0.01775 (1-step 0.01775) 292s
step 13000 loss 0.02000 (1-step 0.02000) 295s
step 13100 loss 0.03921 (1-step 0.03921) 297s
step 13200 loss 0.02479 (1-step 0.02479) 300s
step 13300 loss 0.01842 (1-step 0.01842) 302s
step 13400 loss 0.17771 (1-step 0.17771) 304s
step 13500 loss 0.02210 (1-step 0.02210) 306s
step 13600 loss 0.01810 (1-step 0.01810) 309s
step 13700 loss 0.05030 (1-step 0.05030) 311s
step 13800 loss 0.02280 (1-step 0.02280) 313s
step 13900 loss 0.02467 (1-step 0.02467) 315s
step 14000 loss 0.01765 (1-step 0.01765) 317s
step 14100 loss 0.03433 (1-step 0.03433) 320s
step 14200 loss 0.01633 (1-step 0.01633) 322s
step 14300 loss 0.01551 (1-step 0.01551) 325s
step 14400 loss 0.04826 (1-step 0.04826) 327s
step 14500 loss 0.01921 (1-step 0.01921) 329s
step 14600 loss 0.01741 (1-step 0.01741) 332s
step 14700 loss 0.01730 (1-step 0.01730) 334s
step 14800 loss 0.01563 (1-step 0.01563) 337s
step 14900 loss 0.01338 (1-step 0.01338) 340s
step 15000 loss 0.01630 (1-step 0.01630) 342s
step 15100 loss 0.01168 (1-step 0.01168) 345s
step 15200 loss 0.01501 (1-step 0.01501) 347s
step 15300 loss 0.01950 (1-step 0.01950) 350s
step 15400 loss 0.02440 (1-step 0.02440) 352s
step 15500 loss 0.01625 (1-step 0.01625) 354s
step 15600 loss 0.02885 (1-step 0.02885) 357s
step 15700 loss 0.03320 (1-step 0.03320) 359s
step 15800 loss 0.01934 (1-step 0.01934) 362s
step 15900 loss 0.01887 (1-step 0.01887) 364s
step 16000 loss 0.01580 (1-step 0.01580) 367s
step 16100 loss 0.01287 (1-step 0.01287) 369s
step 16200 loss 0.02227 (1-step 0.02227) 372s
step 16300 loss 0.02611 (1-step 0.02611) 374s
step 16400 loss 0.02058 (1-step 0.02058) 376s
step 16500 loss 0.01352 (1-step 0.01352) 378s
step 16600 loss 0.01400 (1-step 0.01400) 380s
step 16700 loss 0.01389 (1-step 0.01389) 382s
step 16800 loss 0.01260 (1-step 0.01260) 385s
step 16900 loss 0.01432 (1-step 0.01432) 387s
step 17000 loss 0.01198 (1-step 0.01198) 390s
step 17100 loss 0.03264 (1-step 0.03264) 392s
step 17200 loss 0.02368 (1-step 0.02368) 395s
step 17300 loss 0.01602 (1-step 0.01602) 397s
step 17400 loss 0.01260 (1-step 0.01260) 399s
step 17500 loss 0.01429 (1-step 0.01429) 401s
step 17600 loss 0.01345 (1-step 0.01345) 403s
step 17700 loss 0.02125 (1-step 0.02125) 405s
step 17800 loss 0.01415 (1-step 0.01415) 408s
step 17900 loss 0.01132 (1-step 0.01132) 410s
step 18000 loss 0.01531 (1-step 0.01531) 413s
step 18100 loss 0.01214 (1-step 0.01214) 415s
step 18200 loss 0.01157 (1-step 0.01157) 417s
step 18300 loss 0.01304 (1-step 0.01304) 419s
step 18400 loss 0.01088 (1-step 0.01088) 422s
step 18500 loss 0.01336 (1-step 0.01336) 424s
step 18600 loss 0.01560 (1-step 0.01560) 426s
step 18700 loss 0.01913 (1-step 0.01913) 428s
step 18800 loss 0.01365 (1-step 0.01365) 431s
step 18900 loss 0.01067 (1-step 0.01067) 433s
step 19000 loss 0.01403 (1-step 0.01403) 435s
step 19100 loss 0.01176 (1-step 0.01176) 438s
step 19200 loss 0.01001 (1-step 0.01001) 440s
step 19300 loss 0.03212 (1-step 0.03212) 442s
step 19400 loss 0.02535 (1-step 0.02535) 444s
step 19500 loss 0.01265 (1-step 0.01265) 446s
step 19600 loss 0.00972 (1-step 0.00972) 448s
step 19700 loss 0.00985 (1-step 0.00985) 450s
step 19800 loss 0.01171 (1-step 0.01171) 453s
step 19900 loss 0.03996 (1-step 0.03996) 455s
step 20000 loss 0.01308 (1-step 0.01308) 457s
  [val one-step] dv_err_mean=0.004745 dw_err_mean=0.07914 dv_err_far_free=3.793e-08 dw_err_far_free=0.002088 dv_err_near_contact=1.444e-08 dw_err_near_contact=0.01792 dv_err_first_impact=0.2543 dw_err_first_impact=2.553 dv_err_contact=0.006328 dw_err_contact=0.1011 dv_err_rebound_repeat=0.05076 dw_err_rebound_repeat=0.9183 dv_err_resting=0.002051 dw_err_resting=0.06272
step 20100 loss 0.01500 (1-step 0.01500) 460s
step 20200 loss 0.00989 (1-step 0.00989) 462s
step 20300 loss 0.01378 (1-step 0.01378) 464s
step 20400 loss 0.01070 (1-step 0.01070) 467s
step 20500 loss 0.01444 (1-step 0.01444) 469s
step 20600 loss 0.01157 (1-step 0.01157) 471s
step 20700 loss 0.01366 (1-step 0.01366) 473s
step 20800 loss 0.00885 (1-step 0.00885) 476s
step 20900 loss 0.00925 (1-step 0.00925) 478s
step 21000 loss 0.01100 (1-step 0.01100) 481s
step 21100 loss 0.00787 (1-step 0.00787) 483s
step 21200 loss 0.01215 (1-step 0.01215) 486s
step 21300 loss 0.00921 (1-step 0.00921) 488s
step 21400 loss 0.01832 (1-step 0.01832) 490s
step 21500 loss 0.01703 (1-step 0.01703) 493s
step 21600 loss 0.01279 (1-step 0.01279) 495s
step 21700 loss 0.00686 (1-step 0.00686) 497s
step 21800 loss 0.03193 (1-step 0.03193) 499s
step 21900 loss 0.01110 (1-step 0.01110) 501s
step 22000 loss 0.01055 (1-step 0.01055) 504s
step 22100 loss 0.01204 (1-step 0.01204) 506s
step 22200 loss 0.00897 (1-step 0.00897) 509s
step 22300 loss 0.01035 (1-step 0.01035) 511s
step 22400 loss 0.00697 (1-step 0.00697) 513s
step 22500 loss 0.00983 (1-step 0.00983) 515s
step 22600 loss 0.02296 (1-step 0.02296) 517s
step 22700 loss 0.00939 (1-step 0.00939) 519s
step 22800 loss 0.00902 (1-step 0.00902) 521s
step 22900 loss 0.01557 (1-step 0.01557) 524s
step 23000 loss 0.00954 (1-step 0.00954) 526s
step 23100 loss 0.00853 (1-step 0.00853) 528s
step 23200 loss 0.00977 (1-step 0.00977) 530s
step 23300 loss 0.00860 (1-step 0.00860) 532s
step 23400 loss 0.01010 (1-step 0.01010) 534s
step 23500 loss 0.00649 (1-step 0.00649) 536s
step 23600 loss 0.00753 (1-step 0.00753) 538s
