NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/pilot1b --contact-mode none --out runs/expA_pilot_state_only --steps 30000 --eval-every 10000 --workers 2 --eval-contact-sources gt
loaded split train: 1189 episodes in 86.2s
loaded split val: 255 episodes in 18.7s
loaded split test: 255 episodes in 4.4s
loaded split test_geometry: 301 episodes in 1.8s
transition model contact_mode=none params=618630
step 10300 loss 1.79996 (1-step 1.79996) 85s
step 10400 loss 1.00452 (1-step 1.00452) 86s
step 10500 loss 1.65942 (1-step 1.65942) 87s
step 10600 loss 1.20803 (1-step 1.20803) 88s
step 10700 loss 0.79928 (1-step 0.79928) 89s
step 10800 loss 0.95928 (1-step 0.95928) 90s
step 10900 loss 2.05089 (1-step 2.05089) 90s
step 11000 loss 2.16921 (1-step 2.16921) 91s
step 11100 loss 1.49816 (1-step 1.49816) 92s
step 11200 loss 2.09655 (1-step 2.09655) 93s
step 11300 loss 1.48462 (1-step 1.48462) 93s
step 11400 loss 0.88969 (1-step 0.88969) 94s
step 11500 loss 1.17554 (1-step 1.17554) 95s
step 11600 loss 1.53322 (1-step 1.53322) 96s
step 11700 loss 1.48231 (1-step 1.48231) 97s
step 11800 loss 1.68024 (1-step 1.68024) 97s
step 11900 loss 0.96903 (1-step 0.96903) 98s
step 12000 loss 0.89160 (1-step 0.89160) 99s
step 12100 loss 1.29091 (1-step 1.29091) 100s
step 12200 loss 1.19340 (1-step 1.19340) 100s
step 12300 loss 1.15388 (1-step 1.15388) 101s
step 12400 loss 2.03621 (1-step 2.03621) 102s
step 12500 loss 1.41322 (1-step 1.41322) 103s
step 12600 loss 2.01443 (1-step 2.01443) 104s
step 12700 loss 1.37792 (1-step 1.37792) 105s
step 12800 loss 1.09804 (1-step 1.09804) 105s
step 12900 loss 1.10303 (1-step 1.10303) 106s
step 13000 loss 1.99195 (1-step 1.99195) 107s
step 13100 loss 1.38564 (1-step 1.38564) 108s
step 13200 loss 2.31102 (1-step 2.31102) 108s
step 13300 loss 0.98343 (1-step 0.98343) 109s
step 13400 loss 1.41387 (1-step 1.41387) 110s
step 13500 loss 1.14524 (1-step 1.14524) 111s
step 13600 loss 1.14176 (1-step 1.14176) 112s
step 13700 loss 1.54253 (1-step 1.54253) 113s
step 13800 loss 0.88323 (1-step 0.88323) 114s
step 13900 loss 1.44366 (1-step 1.44366) 114s
step 14000 loss 1.31390 (1-step 1.31390) 115s
step 14100 loss 1.71696 (1-step 1.71696) 116s
step 14200 loss 1.06464 (1-step 1.06464) 116s
step 14300 loss 0.85721 (1-step 0.85721) 117s
step 14400 loss 0.90525 (1-step 0.90525) 118s
step 14500 loss 0.93072 (1-step 0.93072) 119s
step 14600 loss 1.15474 (1-step 1.15474) 120s
step 14700 loss 0.89360 (1-step 0.89360) 120s
step 14800 loss 0.70505 (1-step 0.70505) 121s
step 14900 loss 1.31684 (1-step 1.31684) 122s
step 15000 loss 1.02501 (1-step 1.02501) 123s
step 15100 loss 0.88912 (1-step 0.88912) 124s
step 15200 loss 0.93920 (1-step 0.93920) 124s
step 15300 loss 1.00954 (1-step 1.00954) 125s
step 15400 loss 0.75907 (1-step 0.75907) 126s
step 15500 loss 1.01302 (1-step 1.01302) 127s
step 15600 loss 1.19441 (1-step 1.19441) 128s
step 15700 loss 1.05178 (1-step 1.05178) 128s
step 15800 loss 1.08916 (1-step 1.08916) 129s
step 15900 loss 1.48281 (1-step 1.48281) 130s
step 16000 loss 1.23908 (1-step 1.23908) 131s
step 16100 loss 0.97233 (1-step 0.97233) 132s
