NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/fixed1a --contact-mode none --out runs/expA_state_only --steps 30000 --eval-every 10000 --workers 2 --eval-contact-sources gt
loaded split train: 420 episodes in 34.3s
loaded split val: 90 episodes in 7.2s
loaded split test: 90 episodes in 6.8s
loaded split test_geometry: 0 episodes in 0.0s
transition model contact_mode=none params=618630
step 10400 loss 0.75044 (1-step 0.75044) 89s
step 10500 loss 0.81113 (1-step 0.81113) 90s
step 10600 loss 0.82509 (1-step 0.82509) 91s
step 10700 loss 0.83195 (1-step 0.83195) 92s
step 10800 loss 0.74867 (1-step 0.74867) 93s
step 10900 loss 0.64652 (1-step 0.64652) 94s
step 11000 loss 0.52070 (1-step 0.52070) 94s
step 11100 loss 0.74140 (1-step 0.74140) 95s
step 11200 loss 0.62668 (1-step 0.62668) 96s
step 11300 loss 0.83861 (1-step 0.83861) 97s
step 11400 loss 0.95580 (1-step 0.95580) 97s
step 11500 loss 0.72751 (1-step 0.72751) 98s
step 11600 loss 0.51551 (1-step 0.51551) 99s
step 11700 loss 0.52520 (1-step 0.52520) 100s
step 11800 loss 0.84209 (1-step 0.84209) 101s
step 11900 loss 0.82950 (1-step 0.82950) 102s
step 12000 loss 1.03579 (1-step 1.03579) 103s
step 12100 loss 0.82610 (1-step 0.82610) 104s
step 12200 loss 0.63691 (1-step 0.63691) 104s
step 12300 loss 0.66363 (1-step 0.66363) 105s
step 12400 loss 0.67793 (1-step 0.67793) 106s
step 12500 loss 0.89154 (1-step 0.89154) 107s
step 12600 loss 0.62949 (1-step 0.62949) 107s
step 12700 loss 0.89732 (1-step 0.89732) 108s
step 12800 loss 0.62692 (1-step 0.62692) 109s
step 12900 loss 0.60055 (1-step 0.60055) 110s
step 13000 loss 0.68999 (1-step 0.68999) 111s
step 13100 loss 0.62407 (1-step 0.62407) 112s
step 13200 loss 0.60075 (1-step 0.60075) 112s
step 13300 loss 0.61593 (1-step 0.61593) 113s
step 13400 loss 0.82401 (1-step 0.82401) 114s
step 13500 loss 0.67714 (1-step 0.67714) 115s
step 13600 loss 0.45998 (1-step 0.45998) 116s
step 13700 loss 0.69333 (1-step 0.69333) 116s
step 13800 loss 0.67559 (1-step 0.67559) 117s
step 13900 loss 0.62223 (1-step 0.62223) 118s
step 14000 loss 0.41616 (1-step 0.41616) 119s
step 14100 loss 0.65804 (1-step 0.65804) 120s
step 14200 loss 0.53615 (1-step 0.53615) 121s
step 14300 loss 0.58407 (1-step 0.58407) 122s
step 14400 loss 0.64761 (1-step 0.64761) 122s
step 14500 loss 0.39722 (1-step 0.39722) 123s
step 14600 loss 0.39188 (1-step 0.39188) 124s
step 14700 loss 0.47067 (1-step 0.47067) 125s
step 14800 loss 0.45985 (1-step 0.45985) 126s
step 14900 loss 0.31441 (1-step 0.31441) 127s
step 15000 loss 0.47968 (1-step 0.47968) 128s
step 15100 loss 0.34487 (1-step 0.34487) 129s
step 15200 loss 0.29903 (1-step 0.29903) 129s
step 15300 loss 0.49197 (1-step 0.49197) 130s
step 15400 loss 0.37678 (1-step 0.37678) 131s
step 15500 loss 0.63354 (1-step 0.63354) 132s
step 15600 loss 0.40320 (1-step 0.40320) 133s
step 15700 loss 0.53064 (1-step 0.53064) 133s
step 15800 loss 0.54708 (1-step 0.54708) 134s
step 15900 loss 0.56163 (1-step 0.56163) 135s
step 16000 loss 0.38426 (1-step 0.38426) 136s
step 16100 loss 0.39965 (1-step 0.39965) 137s
step 16200 loss 0.55782 (1-step 0.55782) 138s
step 16300 loss 0.40437 (1-step 0.40437) 139s
step 16400 loss 0.29183 (1-step 0.29183) 139s
step 16500 loss 0.49638 (1-step 0.49638) 140s
step 16600 loss 0.36710 (1-step 0.36710) 141s
step 16700 loss 0.31625 (1-step 0.31625) 142s
step 16800 loss 0.37050 (1-step 0.37050) 143s
step 16900 loss 0.27195 (1-step 0.27195) 144s
step 17000 loss 0.38808 (1-step 0.38808) 144s
step 17100 loss 0.63369 (1-step 0.63369) 145s
step 17200 loss 0.56112 (1-step 0.56112) 146s
step 17300 loss 0.43463 (1-step 0.43463) 147s
step 17400 loss 0.45123 (1-step 0.45123) 148s
